event_id,session_id,user_id,event_type,event_timestamp,event_step,product_id,product_name,category,subcategory,brand,region,device_type,traffic_source,page_type,search_keyword,event_date
EVT0000001,S000002,U00297,visit,22-12-2025 08:34,1,P018,UrbanCo Metal Dining Table Large,Home,Furniture,UrbanCo,Pune,mobile,paid_ads,landing_page,,22-12-2025
EVT0000002,S000002,U00297,search,22-12-2025 08:34,2,P018,UrbanCo Metal Dining Table Large,Home,Furniture,UrbanCo,Pune,mobile,paid_ads,search_results,kitchen mixer,22-12-2025
EVT0000003,S000002,U00297,view,22-12-2025 08:36,3,P018,UrbanCo Metal Dining Table Large,Home,Furniture,UrbanCo,Pune,mobile,paid_ads,product_page,,22-12-2025
EVT0000004,S000002,U00297,view,22-12-2025 08:38,4,P139,UrbanCo Wooden Chair Large,Home,Furniture,UrbanCo,Pune,mobile,paid_ads,product_page,,22-12-2025
EVT0000005,S000002,U00297,add_to_cart,22-12-2025 08:39,5,P018,UrbanCo Metal Dining Table Large,Home,Furniture,UrbanCo,Pune,mobile,paid_ads,cart,,22-12-2025
EVT0000006,S000002,U00297,checkout_start,22-12-2025 08:40,6,P018,UrbanCo Metal Dining Table Large,Home,Furniture,UrbanCo,Pune,mobile,paid_ads,checkout,,22-12-2025
EVT0000007,S000002,U00297,purchase,22-12-2025 08:41,7,P018,UrbanCo Metal Dining Table Large,Home,Furniture,UrbanCo,Pune,mobile,paid_ads,confirmation,,22-12-2025
EVT0000008,S000008,U00775,visit,22-12-2025 08:45,1,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,Hyderabad,tablet,organic_search,landing_page,,22-12-2025
EVT0000009,S000008,U00775,view,22-12-2025 08:48,2,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,Hyderabad,tablet,organic_search,product_page,,22-12-2025
EVT0000010,S000008,U00775,add_to_cart,22-12-2025 08:49,3,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,Hyderabad,tablet,organic_search,cart,,22-12-2025
EVT0000011,S000008,U00775,checkout_start,22-12-2025 08:51,4,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,Hyderabad,tablet,organic_search,checkout,,22-12-2025
EVT0000012,S000008,U00775,purchase,22-12-2025 08:51,5,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,Hyderabad,tablet,organic_search,confirmation,,22-12-2025
EVT0000013,S000019,U00427,visit,22-12-2025 09:33,1,P098,HP Air 32GB RAM 512GB SSD,Electronics,Laptop,HP,Mumbai,mobile,social,landing_page,,22-12-2025
EVT0000014,S000019,U00427,search,22-12-2025 09:33,2,P098,HP Air 32GB RAM 512GB SSD,Electronics,Laptop,HP,Mumbai,mobile,social,search_results,laptop deals,22-12-2025
EVT0000015,S000019,U00427,view,22-12-2025 09:36,3,P098,HP Air 32GB RAM 512GB SSD,Electronics,Laptop,HP,Mumbai,mobile,social,product_page,,22-12-2025
EVT0000016,S000001,U00194,visit,22-12-2025 09:40,1,P159,Puma Sneakers Size 10,Sports,Shoes,Puma,Pune,mobile,direct,landing_page,,22-12-2025
EVT0000017,S000001,U00194,view,22-12-2025 09:41,2,P159,Puma Sneakers Size 10,Sports,Shoes,Puma,Pune,mobile,direct,product_page,,22-12-2025
EVT0000018,S000001,U00194,view,22-12-2025 09:43,3,P066,Puma Running Shoes Size 7,Sports,Shoes,Puma,Pune,mobile,direct,product_page,,22-12-2025
EVT0000019,S000001,U00194,add_to_cart,22-12-2025 09:44,4,P159,Puma Sneakers Size 10,Sports,Shoes,Puma,Pune,mobile,direct,cart,,22-12-2025
EVT0000020,S000001,U00194,checkout_start,22-12-2025 09:44,5,P159,Puma Sneakers Size 10,Sports,Shoes,Puma,Pune,mobile,direct,checkout,,22-12-2025
EVT0000021,S000001,U00194,checkout_abandon,22-12-2025 09:45,6,P159,Puma Sneakers Size 10,Sports,Shoes,Puma,Pune,mobile,direct,checkout,,22-12-2025
EVT0000022,S000029,U00784,visit,22-12-2025 10:01,1,P005,Nivea Face Wash,Beauty,Skincare,Nivea,Mumbai,desktop,direct,landing_page,,22-12-2025
EVT0000023,S000029,U00784,view,22-12-2025 10:03,2,P005,Nivea Face Wash,Beauty,Skincare,Nivea,Mumbai,desktop,direct,product_page,,22-12-2025
EVT0000024,S000029,U00784,add_to_cart,22-12-2025 10:04,3,P005,Nivea Face Wash,Beauty,Skincare,Nivea,Mumbai,desktop,direct,cart,,22-12-2025
EVT0000025,S000029,U00784,checkout_start,22-12-2025 10:06,4,P005,Nivea Face Wash,Beauty,Skincare,Nivea,Mumbai,desktop,direct,checkout,,22-12-2025
EVT0000026,S000029,U00784,purchase,22-12-2025 10:07,5,P005,Nivea Face Wash,Beauty,Skincare,Nivea,Mumbai,desktop,direct,confirmation,,22-12-2025
EVT0000027,S000036,U00730,visit,22-12-2025 10:12,1,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Delhi,desktop,social,landing_page,,22-12-2025
EVT0000028,S000036,U00730,view,22-12-2025 10:13,2,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Delhi,desktop,social,product_page,,22-12-2025
EVT0000029,S000036,U00730,view,22-12-2025 10:16,3,P056,Lakme Shampoo,Beauty,Haircare,Lakme,Delhi,desktop,social,product_page,,22-12-2025
EVT0000030,S000036,U00730,add_to_cart,22-12-2025 10:16,4,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Delhi,desktop,social,cart,,22-12-2025
EVT0000031,S000036,U00730,checkout_start,22-12-2025 10:18,5,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Delhi,desktop,social,checkout,,22-12-2025
EVT0000032,S000036,U00730,purchase,22-12-2025 10:19,6,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Delhi,desktop,social,confirmation,,22-12-2025
EVT0000033,S000023,U00056,visit,22-12-2025 10:28,1,P003,Nivea Shampoo,Beauty,Haircare,Nivea,Chennai,mobile,organic_search,landing_page,,22-12-2025
EVT0000034,S000023,U00056,search,22-12-2025 10:29,2,P003,Nivea Shampoo,Beauty,Haircare,Nivea,Chennai,mobile,organic_search,search_results,moisturizer,22-12-2025
EVT0000035,S000023,U00056,view,22-12-2025 10:30,3,P003,Nivea Shampoo,Beauty,Haircare,Nivea,Chennai,mobile,organic_search,product_page,,22-12-2025
EVT0000036,S000005,U00214,visit,22-12-2025 10:30,1,P130,Apple G21 128GB Black,Electronics,Smartphone,Apple,Hyderabad,mobile,direct,landing_page,,22-12-2025
EVT0000037,S000005,U00214,search,22-12-2025 10:31,2,P130,Apple G21 128GB Black,Electronics,Smartphone,Apple,Hyderabad,mobile,direct,search_results,best smartphone,22-12-2025
EVT0000038,S000005,U00214,view,22-12-2025 10:33,3,P130,Apple G21 128GB Black,Electronics,Smartphone,Apple,Hyderabad,mobile,direct,product_page,,22-12-2025
EVT0000039,S000014,U00572,visit,22-12-2025 10:50,1,P150,Adidas Track Pants,Sports,Activewear,Adidas,Chennai,mobile,paid_ads,landing_page,,22-12-2025
EVT0000040,S000014,U00572,search,22-12-2025 10:51,2,P150,Adidas Track Pants,Sports,Activewear,Adidas,Chennai,mobile,paid_ads,search_results,yoga mat,22-12-2025
EVT0000041,S000014,U00572,view,22-12-2025 10:52,3,P150,Adidas Track Pants,Sports,Activewear,Adidas,Chennai,mobile,paid_ads,product_page,,22-12-2025
EVT0000042,S000058,U00296,visit,22-12-2025 11:08,1,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Bengaluru,mobile,organic_search,landing_page,,22-12-2025
EVT0000043,S000058,U00296,view,22-12-2025 11:11,2,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Bengaluru,mobile,organic_search,product_page,,22-12-2025
EVT0000044,S000048,U00675,visit,22-12-2025 13:20,1,P033,UrbanCo Plastic Dining Table Small,Home,Furniture,UrbanCo,Hyderabad,desktop,social,landing_page,,22-12-2025
EVT0000045,S000048,U00675,view,22-12-2025 13:21,2,P033,UrbanCo Plastic Dining Table Small,Home,Furniture,UrbanCo,Hyderabad,desktop,social,product_page,,22-12-2025
EVT0000046,S000048,U00675,view,22-12-2025 13:22,3,P026,UrbanCo Wall Art,Home,Decor,UrbanCo,Hyderabad,desktop,social,product_page,,22-12-2025
EVT0000047,S000048,U00675,add_to_cart,22-12-2025 13:23,4,P033,UrbanCo Plastic Dining Table Small,Home,Furniture,UrbanCo,Hyderabad,desktop,social,cart,,22-12-2025
EVT0000048,S000048,U00675,checkout_start,22-12-2025 13:25,5,P033,UrbanCo Plastic Dining Table Small,Home,Furniture,UrbanCo,Hyderabad,desktop,social,checkout,,22-12-2025
