order_id,purchase_event_id,session_id,user_id,order_timestamp,order_date,region,device_type,traffic_source,primary_product_id,primary_product_name,primary_category,primary_subcategory,basket_items_count,total_units,subtotal,discount_rate,discount_amount,shipping_cost,tax_amount,total_amount,payment_method,order_status,estimated_cost,estimated_profit
ORD0000001,EVT0000007,S000002,U00297,22-12-2025 08:41,22-12-2025,Pune,mobile,paid_ads,P018,UrbanCo Metal Dining Table Large,Home,Furniture,1,1,24543,0.07,1718.01,0,4108.5,26933.49,Debit Card,completed,18959.1,7974.39
ORD0000002,EVT0000012,S000008,U00775,22-12-2025 08:51,22-12-2025,Hyderabad,tablet,organic_search,P170,H&M Green Cotton Shirt,Clothing,Shirts,1,1,761,0,0,122.65,136.98,1020.63,Debit Card,completed,485.24,535.39
ORD0000003,EVT0000026,S000029,U00784,22-12-2025 10:07,22-12-2025,Mumbai,desktop,direct,P005,Nivea Face Wash,Beauty,Skincare,3,4,4785,0.03,143.55,48.31,835.46,5525.22,Debit Card,completed,3398.29,2126.93
ORD0000004,EVT0000032,S000036,U00730,22-12-2025 10:19,22-12-2025,Delhi,desktop,social,P034,Lakme Lipstick,Beauty,Makeup,2,2,1796,0.05,89.8,71.04,307.12,2084.36,Debit Card,completed,1040.56,1043.8
ORD0000005,EVT0000056,S000042,U00819,22-12-2025 13:55,22-12-2025,Ahmedabad,desktop,organic_search,P002,Nike Yoga Mat,Sports,Equipment,3,3,6076,0.06,364.56,50.11,1028.06,6789.61,UPI,completed,3556.6,3233.01
ORD0000006,EVT0000071,S000026,U00513,22-12-2025 14:27,22-12-2025,Delhi,desktop,email,P063,UrbanCo Metal Chair Large,Home,Furniture,2,2,11830,0.05,591.5,86.99,2022.93,13348.42,Credit Card,completed,6875.92,6472.5
ORD0000007,EVT0000083,S000027,U00641,22-12-2025 14:34,22-12-2025,Kolkata,desktop,referral,P195,H&M Green Denim Jeans,Clothing,Jeans,2,2,5461,0,0,121.97,982.98,6565.95,Credit Card,completed,3428.49,3137.46
ORD0000008,EVT0000092,S000034,U00332,22-12-2025 14:45,22-12-2025,Bengaluru,mobile,paid_ads,P177,Puma Sneakers Size 9,Sports,Shoes,3,3,13577,0.18,2443.86,63.74,2003.97,13200.85,Wallet,completed,7742.71,5458.14
ORD0000009,EVT0000122,S000038,U00038,22-12-2025 15:18,22-12-2025,Mumbai,desktop,paid_ads,P164,UrbanCo Metal Sofa Medium,Home,Furniture,1,1,15712,0.15,2356.8,55.96,2403.94,15815.1,Debit Card,completed,9390.46,6424.64
ORD0000010,EVT0000145,S000054,U00686,22-12-2025 16:23,22-12-2025,Hyderabad,tablet,social,P088,Zara Red Denim Jeans,Clothing,Jeans,3,3,7865,0.08,629.2,64.43,1302.44,8602.67,UPI,completed,4721.53,3881.14
ORD0000011,EVT0000175,S000018,U00741,22-12-2025 18:09,22-12-2025,Kolkata,mobile,paid_ads,P179,Zara Black Polyester Shirt,Clothing,Shirts,2,2,5060,0.15,759,142.67,774.18,5217.85,Debit Card,completed,3165.51,2052.34
ORD0000012,EVT0000208,S000053,U00605,22-12-2025 19:34,22-12-2025,Pune,desktop,paid_ads,P006,UrbanCo Lamp,Home,Decor,2,2,11538,0.15,1730.7,121.91,1765.31,11694.52,UPI,completed,6542.11,5152.41
ORD0000013,EVT0000246,S000051,U00100,22-12-2025 21:21,22-12-2025,Kolkata,mobile,social,P195,H&M Green Denim Jeans,Clothing,Jeans,2,2,4292,0,0,71.9,772.56,5136.46,UPI,completed,2708.72,2427.74
ORD0000014,EVT0000250,S000044,U00324,22-12-2025 21:27,22-12-2025,Bengaluru,mobile,paid_ads,P023,Zara White Cotton T-Shirt,Clothing,T-Shirts,2,2,4123,0.05,206.15,70.1,705.03,4691.98,Wallet,completed,2333.69,2358.29
ORD0000015,EVT0000262,S000025,U00009,22-12-2025 21:46,22-12-2025,Pune,mobile,paid_ads,P056,Lakme Shampoo,Beauty,Haircare,3,3,3273,0.18,589.14,57.35,483.09,3224.3,UPI,completed,2353.07,871.23
ORD0000016,EVT0000267,S000006,U00242,22-12-2025 22:41,22-12-2025,Delhi,mobile,organic_search,P012,Nivea Foundation,Beauty,Makeup,1,1,2237,0.05,111.85,102.9,382.53,2610.58,Debit Card,completed,1482.62,1127.96
ORD0000017,EVT0000288,S000071,U00112,23-12-2025 09:44,23-12-2025,Bengaluru,tablet,organic_search,P166,H&M Black Cotton Jacket,Clothing,Jackets,2,2,4727,0,0,99.95,850.86,5677.81,UPI,completed,3076.91,2600.9
ORD0000018,EVT0000327,S000106,U00014,23-12-2025 12:19,23-12-2025,Hyderabad,desktop,social,P010,Samsung Phone Case,Electronics,Accessories,1,1,1711,0,0,64.28,307.98,2083.26,UPI,completed,925.81,1157.45
ORD0000019,EVT0000334,S000080,U00039,23-12-2025 13:14,23-12-2025,Delhi,desktop,paid_ads,P093,Zara Green Polyester Jeans,Clothing,Jeans,3,3,2853,0.18,513.54,49.06,421.1,2809.62,Debit Card,completed,1888.94,920.68
